etiqueta_duplicaDO,duplicados
"myrcia ferruginosasouza, v.c.62661994",59004
"myrcia ferruginosatozzi, a.m.g.a.; moreira, j.l.a.; santos, k.; filliettaz, a.m.; mendonça filho, c.v.; galvão, j.c.3841998",58773
"myrcia ferruginosavaldemarin., k.s.; mazine, f.f.; piotrowski, i.; rodrigues, f.442015",59005
"myrcia ferruginosavirillo, c.b.1522013",25295/58754
"myrcia flagellarisalmeida-scabbia, r.j.saibadela2521994",25163/58604
"myrcia flagellarisalmeida-scabbia, r.j.2521994",25160/58511/25158/58569
"myrcia flagellarisgentry, a.h.; dias, a.c.; franco, g.a.588721987",25193/58525
"myrcia flagellarisgentry, a.h.; dias, a.c.; franco, g.a.590401987",25194/58526
"myrcia flagellarisávila, n.s.; neves, l.f.; bellenzani, m.l.r.3761994",25179/58509
"myrcia flagellarisbaitello, j.b.; pastore, j.a.7681995",25149/58592/25148/58568
"myrcia flagellarisbarretto, e.h.p.; garcia, r.j.f.; pascalicchio, f.f.; carvalho, a.g.11532016",25067/58553
"myrcia flagellarisbenson, w.w.108911979",25195/58506
"myrcia flagellariskiyama, c.y.571994",25177/58555
"myrcia flagellariscosta, i.r.; andrade, m.a.r.5152003",25099/58512/58504/58505
"myrcia flagellariscosta, i.r.; andrade, m.a.r.5142003",25097/25098/58502/58503
"myrcia flagellarisduarte, a.r.531na",25206/58475
"myrcia flagellarismazine, f.f.4582002",25103/58452
"myrcia flagellarismazine, f.f.; duarte, a.r.4582002",25102
"myrcia flagellarisflores, t.b.18002013",25070/58540/25074/58456/58527
"myrcia flagellarisfranco, g.a.d.c.; mendes, j.c.t.; ferraz, k.m.b.; ferraz, s.f.b.; silva, e.v.; valente, r.; rocha, e.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.29452000",25113/58481
"myrcia flagellarisarbocz, g.f.5581994",25171/58541
"myrcia flagellarisgaletti, m.saibadela11151995",25142/58603
"myrcia flagellariskirizawa, m.; sugiyama, m.28801994",25169/58602
"myrcia flagellariskiyama, c.y.; simão bianchini, r.; rossi, l.; shirasuna, r.t.571994",25180/58598
"myrcia flagellariskiyama, c.y.; simão-bianchini, r.; rossi, l.; shirasuna, r.t.571994",25178/58510
"myrcia flagellarislima, r.a.f.392na",25213/58490
"myrcia flagellarislima, r.a.f.459na",25214/58491
"myrcia flagellarislima, r.a.f.573na",25215/58455
"myrcia flagellarislombardi, j.a.; saka, m.n.; fonseca, r.85012011",25079/58544
"myrcia flagellarislucas, e.j.; souza, v.c.; mazine, f.f.; forster, w.; udulutsch, r.g.832003",25095/58457
"myrcia flagellarismattos, j.r.134951966",25199/58599/25198/58573
"myrcia flagellarismattos, j.r.92221961",25200/58572
"myrcia flagellarismazine, f.f.d.r.; gianotti, m.4582002",25104/58476
"myrcia flagellarismoraes, p.l.r.21642000",25118/58453
"myrcia flagellarismoraes, p.l.r.957na",25216/58574
"myrcia flagellarisivanauskas, n.m.; toniato, m.t.z.; polisel, r.t.; souza, d.; pisciota, k.; silva, c.o.; silva, n.o.62072006",25082/58561
"myrcia flagellarisoliveira, a.a.; gandolfi, s.; batista, f.r.q.; micheletto, f.; liesenfeld, m.v.a.; san-martin, i.; peroni, n.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.36252000",25114/58467
"myrcia flagellarisalmeida-scabbia, r.j.1107na",25202/58522
"myrcia flagellarisshirasuna, r.t.23972009",25081/58601
"myrcia flagellarissobral, m.; attili, d.66581991",25183/58570
myrcia flagellarissouza202000,25123/58524
"myrcia flagellarissouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29011na",25207/58492
"myrcia flagellarissouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29391na",25210/58454
"myrcia flagellarissouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29392na",25204/58493
"myrcia flagellarissouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.29393na",25208/58494
"myrcia flagellarissouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30166na",25205/58479
"myrcia flagellarissouza, v.c.; duarte, a.r.; rando, j.g.; ferreira, m.p.30169na",25209/58478
"myrcia flagellarissouza, v.c.; duarte, a.r.; sampaio, d.; nogueira, a.; castanho, c.t.; rando, j.g.290112003",25096/58480
"myrcia flagellarisvirillo, c.b.712013",25073/58466
"myrcia flagellariszipparro, v.b.; almeida-scabbia, r.j.s.n.1995",25147/58520
"myrcia fusiformiscustodio filho, a.; gentry, a.h.46571987",25681/59755/25682/59761
"myrcia fusiformiscustodio filho, a.; gentry, a.h.46741987",25680/59754
"myrcia fusiformisaranha, b.a.3842007",25674
"myrcia fusiformisramos, e.; eltink, m.; benedito, j.f.; santos, s.s.n.2009",25671
"myrcia fusiformisfaria, j.e.q.; lima, m.e.l.30352012",25665/25666/59760/59762/25667
"myrcia fusiformisfranco, g.a.d.c.; al.11011990",25679/59753
"myrcia fusiformisfranco, g.a.d.c.11011990",25678/59756
"myrcia fusiformisgomes, j.a.m.a.; virillo, c.b.6532008",25673/25672
"myrcia fusiformisgomes, j.a.m.a.; virillo, c.b.6542009",25669/25668
"myrcia fusiformisshirasuna, r.t.; gonçalez, v.m.; silva, g.o.7052007",25675/59764
"myrcia fusiformisshirasuna, r.t.; morse, f.; rodrigues, r.s.20542009",25670/59765
"myrcia fusiformissimão-bianchini, r.5361994",25676/59767
"myrcia fusiformiswilms, w.4241993",25677/59766
"myrcia glabrakuhlmann, e.s.n.1946",56350
"myrcia glabragandolfi, s.; leitão filho, h.f.; bezerra, c.l.f.7831984",22139/56338
"myrcia glabrahatschbach, g.462811983",22142/56346
"myrcia glabrahashimoto, g.170421949",22144/56372
"myrcia glabrahashimoto, g.171841986",56365
"myrcia glabrahoehne, f.c.s.n.1918",22145/56373
"myrcia glabrabernacci, l.c.; franco, g.a.d.c.; durigan, g.; catharino, e.l.m.; santos, e.q.; furlan, e.34252000",56353
"myrcia glabraleitão filho, h.f.334221995",56339/22125/22124/56337/56366
myrcia glabranas.n.na,22147/56352
"myrcia glabranicolau, s.a.; faria, v.b.; cortez, l.t.; soares, w.n.22921999",22120/56344/22121/56370
"myrcia glabranicolau, s.a.; braz, j.d.; braz, s.a.; faria, v.b.; miranda, l.c.28642001",22117/56367
"myrcia glabranicolau, s.a.; mana, j.r.; kusakabe, n.k.; moraes, a.l.12941997",22123/56371
"myrcia glabrahandro, o.s.n.1931",56354/56345
"myrcia glabrasaint-hilaire, a.f.c.p.s.n.na",56362/56363
"myrcia glabrasantos, k.; belinello, r.40742001",56336
"myrcia glabrasellow, f.s.n.na",56361
"myrcia glabraburchell, w.j.46141827",22146/56328
"myrcia glomeratasilva, a.f.12531985",26098/59996
"myrcia glomerataalmeida-acabbia; indriunas, a.; evangelista, e.; dias, r.52182007",25789/60023
"myrcia glomerataárbocz, g.f.9021994",25921/60155
"myrcia glomerataárbocz, g.f.9131994",26092/60194
"myrcia glomerataarocz, g.f.9021994",25919/59938
"myrcia glomerataarzolla, f.a.r.d.p.; paula, g.c.r.; vilela, f.e.s.p.; antunes, a.z.10932007",25781/59886/25780/60064
"myrcia glomerataávila, n.s.3341994",25911/59940/25914/60109
"myrcia glomerataávila, n.s.; bellenzani, m.l.r.; garcia, r.j.f.3341994",25910/59901
"myrcia glomeratapickel, b.10951945",26031/59964
"myrcia glomeratabarreto, k.d.32041994",25929/59864/25928/60107
"myrcia glomeratabarreto, k.d.32251994",25930/59838/25913/60103
"myrcia glomeratabarreto, k.d.; fernandes, g.d.; fernandes, r.d.32041994",25923/60022
"myrcia glomeratabarreto, k.d.; fernandes, g.d.; fernandes, r.d.32251994",25924/60034/25922/59929
"myrcia glomeratabrade, a.c.67781913",26048/26049/59977/60173
"myrcia glomeratabúgola-silva, f.; yang, a.m.k.; almeida scabbia, r.j.82252008",25772/60113
"myrcia glomeratabúgola-silva, f.; almeida-scabbia, r.j.; yang, a.m.k.s.n.2008",25771/59947
"myrcia glomeratachung, f.2201997",25861/59835
"myrcia glomeratacorrêa, m.a.121995",25892/60137
"myrcia glomerataemelen, d.a.105na",26055/60086
"myrcia glomeratapickel, b.s.n.1945",26032/60051
"myrcia glomeratasilva, e.l.461988",25957/60053
"myrcia glomerataelias, s.i.3111997",25859/60012
"myrcia glomerataferreira, s.s.n.1991",25936/60171
"myrcia glomerataromão, g.o.; c. herrerias, m.p.z.r.r.c.s.y.t.g.p.s.m.i.g.n.f.5662001",25820
"myrcia glomerataromao, g.o.5662001",25815/60052
"myrcia glomeratagaem, p.h.; cabello, n.b.37na",26068/60040
"myrcia glomeratagaem, p.h.; cabello, n.b.88na",26066/60041
"myrcia glomeratagandolfi, s.129471984",25982/59858
"myrcia glomeratagandolfi, s.27221984",25981/59857/25984/60139
"myrcia glomeratagandolfi, s.; leitão filho, h.f.; bezerra, c.l.f.s.n.1983",25986/59903
"myrcia glomeratagandolfi, s.; leitão filho, h.f.; bezerra, c.l.f.s.n.1984",25983/59902
"myrcia glomeratagaudichaud-beaupré, c.s.n.1833",26054/59948
"myrcia glomerataglaziou, a.f.m.s.n.1886",26107/59949
"myrcia glomerataglaziou, a.f.m.16057-a1886",26108/59879
"myrcia glomeratahandro, o.s.n.1932",26040/26041/26042/26045/59981/59982/59983/60185/59961/59966/26043/26044
"myrcia glomeratahashimoto, g.169051940",26035/60186
"myrcia glomeratahashimoto, g.169331949",26022/60176
"myrcia glomeratahashimoto, g.169351949",26021/60187
"myrcia glomeratahashimoto, g.169681948",26024/60190
"myrcia glomeratahoehne, f.c.s.n.1918",26046/26047/59976/60177
"myrcia glomeratahoehne, w.s.n.1947",26026/26027/59975/60174/26025/60087
"myrcia glomeratahoehne, w.3573na",26109
"myrcia glomeratahoehne, w.24011947",26028/59869
"myrcia glomerataivanauskas, n.m.591993",25933/59866/25932/60105
"myrcia glomerataball, j.s.n.1882",26053/59812
"myrcia glomeratamattos, j.r.152871966",26007
"myrcia glomeratamattos, j.152871966",59968
"myrcia glomeratabarreto, k.d.22771994",25901/59953
"myrcia glomeratakirizawa, m.16141986",25963/59943
"myrcia glomeratakuhlmann, m.43831958",26020/60170
"myrcia glomeratakuhlmann, m.s.n.1943",26034/60179
"myrcia glomeratarossi, l.1131979",25994/59883/25991/59970/25992/25993/25995/59980/60019/60182
"myrcia glomeratarossi, l.1401979",25990/59882/25996/25997/59978/60184
"myrcia glomeratasantos, l.b.3942009",25763/25759/25760/25762/59816/59950/59988/25764/60006
"myrcia glomeratameireles, l.d.702001",25814/60088
"myrcia glomeratameireles, l.d.842001",25816/60089
"myrcia glomerataloefgren, a.s.n.1895",26051/60099
"myrcia glomerataloefgren, a.cgg29071895",26052/60180
"myrcia glomeratalucas, e.j.692003",25805/59834
"myrcia glomeratalucas, e.j.742003",25806/59833
"myrcia glomerataluederwaldt, h.s.n.1908",26050/60178
"myrcia glomeratakuhlmann, m.33451946",26029/26030/59963/59965
"myrcia glomeratamartius, c.f.p.herb-fl287na",60093
"myrcia glomeratamartius, c.f.p.287na",26071/59990
"myrcia glomeratamattos, j.r.121591964",26015/60102
"myrcia glomeratamattos, j.r.121601964",26016/60101
"myrcia glomeratamattos, j.r.140301966",26006
"myrcia glomeratamattos, j.140301966",60147
"myrcia glomeratamattos, j.140521966",26003/60149
"myrcia glomeratamattos, j.140821966",26005/60150
"myrcia glomeratamattos, j.r.140991966",26004
"myrcia glomeratamattos, j.140991966",60151
"myrcia glomeratamattos, j.; mattos, n.148841966",26008/60152
"myrcia glomeratamattos, j.; mattos, n.148921966",26009/60146
"myrcia glomeratamattos, j.; mattos, n.152781966",26010/60148
"myrcia glomeratamattos, j.; moura, c.149641965",26011/60153
"myrcia glomeratameira neto, j.a.a.; leitão filho, h.f.; santin,235521990",26094/59928
"myrcia glomeratameireles, l.d.; gonçalves, a.p.s.; soares junior, f.j.; meneghetti, g.i.p.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; souza, j.p.; ivanauskas, n.m.; furlan, e.702001",25823/59850
"myrcia glomeratameireles, l.d.; gonçalves, a.p.s.; soares junior, f.j.; meneghetti, g.i.p.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; souza, j.p.; ivanauskas, n.m.; furlan, e.842001",25821/59872
"myrcia glomeratameireles, l.d.; gonçalves, a.p.s.; soares júnior, f.j.; meneghetti, g.i.p.; rodrigues, r.r.702001",25817/59893
"myrcia glomeratameireles, l.d.; gonçalves, a.p.s.; soares júnior, f.j.; meneghetti, g.i.p.; rodrigues, r.r.842001",25818/59894
"myrcia glomeratamello, j.s.s.n.1935",26105/26039/59972/60192
myrcia glomeratana282013,25735/60025
myrcia glomeratana28na,26060/60024
myrcia glomeratana422013,25736/60030
myrcia glomeratana442013,25734/60031
myrcia glomeratana522012,25739/60032
myrcia glomeratana104na,26067/60039
myrcia glomeratana16091986,25964/60046
myrcia glomeratana154361969,26002/60036
myrcia glomeratana154521969,26001/60035
myrcia glomeratanas.n.1937,26038
myrcia glomeratanas.n.na,26059/59962
"myrcia glomeratanicolau, s.a.; barbosa, a.c.; faria, v.b.15321998",25848/60166
"myrcia glomeratanicolau, s.a.; barbosa, a.c.; faria, v.b.; villagra, b.l.p.22521999",25840/60158
"myrcia glomeratanicolau, s.a.; braz, j.d.; braz, s.a.; lopes, r.a.26582001",26085/60196
"myrcia glomeratanicolau, s.a.; braz, j.d.; braz, s.a.; lopes, r.a.26782001",25812/60169
"myrcia glomeratanicolau, s.a.; braz, j.d.; faria, f.b.; miranda, l.c.30372001",25826/60156
"myrcia glomeratanicolau, s.a.; braz, j.d.; faria, v.b.29582001",25824/60124
"myrcia glomeratanicolau, s.a.; braz, j.d.; lopes, r.a.27062001",25810/60168
"myrcia glomeratanicolau, s.a.; braz, j.d.; lopes, r.a.; duarte, j.w.27852001",25813/60122
"myrcia glomeratanicolau, s.a.; braz, s.a.; braz, j.d.; borges, m.r.25562001",25811/60167
"myrcia glomeratanicolau, s.a.; braz, s.a.; braz, j.d.; borges, m.r.26012001",25809/60123
"myrcia glomeratanicolau, s.a.; faria, v.b.; miranda, l.c.30342001",25825/60157
"myrcia glomerataaguiar, o.t.13882014",25733/60082
"myrcia glomeratapires, t.p.; silva, b.g.; lima, g.m.1822019",25728/59895
"myrcia glomeratapohl, j.b.e.3766na",26070/59991
"myrcia glomerataromão, g.o.; herrerias, c.; pereira, m.; zevallos, p.; rodrigues, r.r.; souza, v.c.; tamashiro, j.y.; gandolfi, s.; souza, j.p.; ivanauskas, n.m.; nave, a.g.; furlan, e.5662001",25822/59849
"myrcia glomerataromão, g.o.; herrerias, c.; pereira, m.; zevallos, p.; rodrigues, r.r.; souza, v.c.5662001",25819/59892
"myrcia glomeratarossi, l.113-a1980",25988/25989/59979/60183
"myrcia glomerataroth, l.3681943",26033/60189
"myrcia glomeratanicolau, s.a.20421999",25844/59813
"myrcia glomerataelias, s.i.; m.m.r. silva, d.b.a.; freitas, f.o.3111997",25860
myrcia glomeratas.col.226na,26063/60188
myrcia glomeratas.col.281na,26064/60112
"myrcia glomeratasaint-hilaire, a.f.c.p.s.n.na",26056/59989/60091/60092
"myrcia glomeratasantos, k.; belinello, r.38872001",25808/59896
"myrcia glomeratasellow, f.s.n.na",60094/60095/60096/60097/60098
"myrcia glomerataselusniaki, m.8152006",25797/59830
"myrcia glomerataserviço, f.e.7na",26058
"myrcia glomeratasevero, r.12008",25777/59865
"myrcia glomeratashirasuna, r.t.24162009",25752/60181
"myrcia glomeratashirasuna, r.t.; cachenco, m.v.8622008",25767/60138
"myrcia glomeratasilva, a.t.; nogueira, l.e.g.d.102012",25745/60033
"myrcia glomeratasilva, a.t.; nogueira, l.e.g.d.122012",25742/60026
"myrcia glomeratasilva, a.t.; nogueira, l.e.g.d.142012",25743/60027
"myrcia glomeratasilva, a.t.; nogueira, l.e.g.d.192012",25741/60028
"myrcia glomeratasilva, a.t.; nogueira, l.e.g.d.222012",25744/60029
"myrcia glomeratasilva, l.h.s.; al.3661995",25886/59937
"myrcia glomeratasimão-bianchini, r.13251999",25841/60136
"myrcia glomeratasoares-silva, l.h.3661995",25895/25887/60018/25884/25896/60011/60017
"myrcia glomeratasoares; silva, l.h.3661995",59863
"myrcia glomeratasoares, a.s.n.na",26062/60175
"myrcia glomeratasoares, l.h.3661995",25889/59881
"myrcia glomeratasouza, v.c.; colletta, g.d.425482019",25729/59870
"myrcia glomeratasouza, v.c.88921995",25888/60013
"myrcia glomeratasouza, v.c.41481993",25931/60108
"myrcia glomeratastranghetti, v.; ranga, n.t.; rezende, a.a.25852008",26076/59955
"myrcia glomeratabarreto, t.e.622013",25737/60078
"myrcia glomeratatozzi, a.m.g.a.; moreira, j.l.a.; santos, k.; filliettaz, a.m.; mendonça filho, c.v.; galvão, j.c.3681998",59887
"myrcia glomeratasouza, v.c.; flores, t.b.; coelho, r.l.g.; colletta, g.d.400292016",25730
"myrcia glomerataferreira, v.f.41541989",25951
"myrcia glomeratasouza, v.c.400292016",25732/59967
"myrcia grammicaglaziou, a.f.m.s.n.1892",25511/59589
"myrcia grammicaglaziou, a.f.m.19366-a1892",25512/59587
"myrcia grammicamattos, j.r.142621967",25509/59590/59591/25508/59588
"myrcia grammicamattos, j.; mattos, n.142621967",25510/59592
"myrcia guianensisabraão, a.; franci, l.c.s.n.2011",22191/56740/22192/56671
"myrcia guianensiscustodio filho, a.2661980",22597/56730/22603
"myrcia guianensissilva, a.f.; capellari junior, l.15151986",22532
"myrcia guianensissilva, a.f.; capellari junior, l.15361986",22547
"myrcia guianensiscustodio filho, a.25401986",22518/56882/22522/22523/56828/22520/56814
"myrcia guianensisabraão, a.s.n.2011",22193/56720
"myrcia guianensisaló, l.l.; silva, a.m.; silva, j.p.; lanza, m.g.72009",22206/56872
"myrcia guianensisamaral, j.; bicudo, l.h.r.; ribeiro, d.; barbosa, e.m.; ribas, k.c.; nordi, j.c.; crus, n.j.; campos, c.j.61989",22506/56853
"myrcia guianensisamaral, j.; bicudo, l.h.r.; ribeiro, d.; barbosa, e.m.; ribas, k.c.; nordi, j.c.; crus, n.j.; campos, c.j.191991",22500/56858
"myrcia guianensisaraújo, f.s.s.n.1994",22421/56628
"myrcia guianensisarzolla, f.a.r.d.p.; moura, c.; vilela, f.e.s.p.11222007",22232/56617/22231/56888
"myrcia guianensisarzolla, f.a.r.d.p.; shepherd, g.j.; paula, g.c.r.; vilela, f.e.s.p.11822007",22243/56619
"myrcia guianensisarzolla, f.a.r.d.p.; shepherd, g.j.; paula, g.c.r.; vilela, f.e.s.p.12192007",22242/56618
"myrcia guianensisarzolla, f.a.r.d.p.; vilela, f.e.s.p.; paula, g.c.r.12202007",22241/56568/22240/56887
"myrcia guianensisavalone, c.l.; carneiro, m.r.451967",56470
"myrcia guianensisbaitello, j.b.s.n.1977",22630/56694
"myrcia guianensisbarbosa, m.r.12211991",22499/56623
"myrcia guianensisbarreto, k.d.13301993",22479/56547/22478/56642
"myrcia guianensisbarreto, k.d.23961994",22425/56516
"myrcia guianensisbarreto, k.d.; fernandes, g.d.; fernandes, r.d.33641994",22460/56749/22470/56543/22458/56753
"myrcia guianensisbarreto, k.d.33641994",22465/56944
"myrcia guianensisbarreto, k.d.; fernandes, g.d.; vitti, f.x.13832001",22310/56942
"myrcia guianensisberaldo, k.342013",22187/56692
"myrcia guianensisbernacci, l.c.9181994",22467/56997
"myrcia guianensisbianchini, a.; almeida, a.; salmeron, c.22012",22190/56865
"myrcia guianensisbrade, a.c.67751913",22793/57004
"myrcia guianensiscalsolari, b.t.221974",22644/56452
"myrcia guianensiscerqueira, r.m.1672003",22831/56813
"myrcia guianensischevalier, a.j.b.s.n.1928",22788/56649
"myrcia guianensischueri, t.m.262007",22236/56544
"myrcia guianensiscolletta, g.d.22232015",22164/56542
"myrcia guianensiscolletta, g.d.22322015",22165/56541
"myrcia guianensiscosta, i.r.; oliveira, v.m.4872003",22285/56587
"myrcia guianensiscustodio filho, a.s.n.1980",56477
"myrcia guianensiscustodio filho, a.266na",22817
"myrcia guianensissantos junior, d.s.n.1994",56763
"myrcia guianensispickel, b.s.n.1943",22775/56916
"myrcia guianensiskuhlmann, e.s.n.1946",22771
"myrcia guianensishemmendorff, e.2701899",22800
"myrcia guianensisarzolla, f.a.r.d.p.; sheperd, g.j.; paula, g.c.r.; vilela, f.e.s.p.11822007",22237/56884
"myrcia guianensisarzolla, f.a.r.d.p.; sheperd, g.j.; paula, g.c.r.; vilela, f.e.s.p.11882007",22238/56885
"myrcia guianensisarzolla, f.a.r.d.p.; sheperd, g.j.; paula, g.c.r.; vilela, f.e.s.p.12192007",22239/56886
"myrcia guianensisarzolla, f.a.r.d.p.; paula, g.c.r.; vilela, f.e.s.p.10262006",22251/56917
"myrcia guianensisferraz, l.d.; adati, a.; lomas, r.j.; oliveira, d.112009",22208/56848
"myrcia guianensisfreitas, l.; ravetta, a.l.51998",22340/57010
"myrcia guianensisfreitas, l.; ravetta, a.l.4641998",22338/56601
"myrcia guianensiscolletta, g.d.; flores, t.b.; brito22232015",22162
"myrcia guianensiscolletta, g.d.; flores, t.b.; brito22322015",22160
"myrcia guianensiscolletta, g.d.; flores, t.b.; martin, p.22362015",22161
"myrcia guianensiscolletta, g.d.; flores, t.b.; martin, p.22592015",22163
"myrcia guianensisromão, g.o.; chaddad junior, j.8372002",22302/22304/56531
"myrcia guianensisgaem, p.h.; cabello, n.b.53na",22829/56861
"myrcia guianensisgandolfi, s.; leitão filho, h.f.; bezerra, c.l.f.s.n.1984",22578/56578
"myrcia guianensisgarcia, r.j.f.21372002",22300/22299
"myrcia guianensisgasparoto, e.a.g.; alves, m.; shinzato, e.t.52009",22209/56834
"myrcia guianensiseiten, g.; eiten, l.t.2383na",22825/56558
"myrcia guianensisgiannotti, e.83711978",22628/56593/22627/56636
"myrcia guianensisfelipe, g.m.731962",22711
"myrcia guianensisgodoy, s.a.p.3831995",22377/56695
"myrcia guianensisgodoy, s.a.p.; pereira, d.l.; hoch, a.m.3831995",22375/56564
"myrcia guianensisguimarães, p.s.n.na",22822/56664
"myrcia guianensishandro, o.188na",22814/56710
"myrcia guianensishandro, o.11391966",22693/22694/22695/22692
"myrcia guianensishandro, o.s.n.1931",22787/56709/22783/56645/22785/22786
