especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Cambessedesia weddellii,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Cambessedesia wurdackii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Campomanesia aurea,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Campomanesia espiritosantensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Campomanesia eugenioides,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Campomanesia guazumifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Campomanesia hirsuta,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Campomanesia macrobracteolata,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Campomanesia neriiflora,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Campomanesia phaea,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Campomanesia prosthecesepala,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Campomanesia pubescens,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Campomanesia reitziana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Campomanesia schlechtendaliana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Campomanesia schlechtendaliana var. schlechtendaliana,UICN_API,NA,NA,NA,NA,NA,NA,VU,NA,NA
Campomanesia sessiliflora,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Campomanesia sessiliflora var. bullata,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Campomanesia sessiliflora var. sessiliflora,UICN_API,NA,NA,NA,NA,NA,NA,EN,NA,NA
Campomanesia simulans,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,NT,NA,NA
Campomanesia xanthocarpa,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Camptosema bellum,SP_oficial,NA,NA,NA,VU,NA,NA,NA,NA,NA
Camptosema isopetalum,sima-SP_oficial,NA,LC,EX,EX,NA,NA,NA,NA,NA
Campuloclinium parvulum,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Campuloclinium riedelii,sima-SP_oficial-mpoSP,NA,LC,EN,EN,NA,NA,NA,EN,NA
Campylocentrum crassirhizum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Campylocentrum densiflorum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Campylocentrum neglectum,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Campylocentrum parahybunense,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Campylocentrum pernambucense,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Campylocentrum spannagelii,UICN_API,NA,NA,NA,NA,NA,NA,DD,NA,NA
Campyloneurum decurrens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Campylopus densicoma,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Canastra aristella,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Canastra lanceolata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Canistropsis albiflora,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Canistropsis elata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Canistropsis microps,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Canistrum alagoanum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Canistrum aurantiacum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Canistrum camacaense,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Canistrum fosterianum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Canistrum guzmanioides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Canistrum montanum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Canistrum pickelii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Canistrum triangulare,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Capanemia adelaidae,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Capanemia fluminensis,cncflora_web,NA,NA,NA,NA,NA,DD,NA,NA,NA
Capanemia gehrtii,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Capanemia micromera,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Capanemia superflua,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Capanemia therezae,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Capanemia thereziae,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Caperonia buettneriacea,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Caperonia palustris,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Capparidastrum frondosum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Caraipa odorata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Carapichea ipecacuanha,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Cardiospermum corindum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Cardiospermum halicacabum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cariniana ianeirensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cariniana legalis,sima-SP_oficial-cncflora_ckan-UICN_API-mpoSP-Portaria 443/2014,EN,NA,VU,VU,NA,EN,VU,VU,EN
Cariniana parvifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cariniana penduliflora,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Carolus chlorocarpus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Caryocar brasiliense,sima-cncflora_web-UICN_API,NA,LC,NA,NA,NA,LC,LC,NA,NA
Caryodendron janeirense,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Casearia aculeata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Casearia arborea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Casearia gossypiosperma,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Casearia grandiflora,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Casearia lasiophylla,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,DD,NA,NA
Casearia mariquitensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Casearia obliqua,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Casearia paranaensis,sima-cncflora_ckan-UICN_API-Portaria 443/2014,VU,NA,NA,NA,NA,NT,NT,NA,VU
Casearia rupestris,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Casearia selloana,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Casearia sylvestris,sima-UICN_API,NA,NE,NA,NA,NA,NA,LC,NA,NA
Cassia ferruginea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cassia grandis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cassia leptophylla,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Castela tweedii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Catasetum atratum,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Catasetum cernuum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Catasetum fimbriatum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Catasetum mattosianum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Catasetum purum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Catolesia mentiens,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Cattleya aclandiae,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cattleya bicolor,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Cattleya cernua,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Cattleya dormaniana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cattleya granulosa,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cattleya guttata,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Cattleya harrisoniana,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Cattleya intermedia,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Cattleya labiata,sima-SP_oficial-Portaria 443/2014,VU,NA,VU,VU,NA,NA,NA,NA,VU
Cattleya perrinii,sima-SP_oficial,VU,NA,VU,VU,NA,NA,NA,NA,NA
Cattleya porphyroglossa,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Cattleya purpurata,sima-SP_oficial,VU,NA,EW,EW,NA,NA,NA,NA,NA
Cattleya schilleriana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cattleya tenuis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cattleya tigrina,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,EW,EW,NA,VU,NA,NA,VU
Cattleya velutina,sima-SP_oficial-Portaria 443/2014,VU,NA,VU,VU,NA,NA,NA,NA,VU
Cattleya walkeriana,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Cattleya warneri,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cayaponia bonariensis,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Cayaponia espelina,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Cayaponia pedata,sima-SP_oficial-cncflora_web,NA,DD,EX,EX,NA,DD,NA,NA,NA
Cayaponia trilobata,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Cecropia glaziovii,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Cecropia hololeuca,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Cedrela angustifolia,sima,EN,NA,NA,NA,NA,NA,NA,NA,NA
Cedrela fissilis,sima-SP_oficial-cncflora_web-UICN_API-mpoSP-Portaria 443/2014,VU,NA,VU,VU,NA,VU,VU,VU,VU
Cedrela odorata,sima-SP_oficial-cncflora_web-UICN_API-mpoSP-Portaria 443/2014,VU,NA,VU,VU,NA,VU,VU,VU,VU
Ceiba erianthos,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Ceiba pentandra,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Celosia argentea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Celosia grandifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Celtis chichape,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Celtis ehrenbergiana,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Celtis iguanaea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cenchrus latifolius,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Centroglossa castellensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Centroglossa macroceras,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Centroglossa tripollinica,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Centrolobium microchaete,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Centrolobium paraense,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Centrolobium tomentosum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Centrosema arenarium,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Centrosema bracteosum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Centrosema carajasense,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Centrosema jaraguaense,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Centrosema macrocarpum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Centrosema pubescens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Centrosema sagittatum,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Centrosema teresae,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Cephalozia crassifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Ceradenia capillaris,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Ceradenia glaziovii,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Ceradenia warmingii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Ceratophyllum demersum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Ceratopteris thalictroides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Ceratosanthes hilariana,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Cereus fernambucensis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cereus hildmannianus,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cereus mirabella,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cestrum axillare,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cestrum bracteatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cestrum intermedium,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cestrum mariquitense,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cestrum schlechtendahlii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cestrum strigilatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Cestrum subpulverulentum,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Cestrum tubulosum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Chaetocalyx scandens,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chaetoclamys psammina,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetostoma glaziovii,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Chamaecostus subsessilis,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Chamaecrista anamariae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chamaecrista aristata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chamaecrista atroglandulosa,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Chamaecrista brevicalyx var. elliptica,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chamaecrista catolesensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chamaecrista choriophylla,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chamaecrista cipoana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chamaecrista dentata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chamaecrista desvauxii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chamaecrista ensiformis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chamaecrista fodinarum,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chamaecrista glandulosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chamaecrista lagotois,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chamaecrista setosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chamaecrista stillifera,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chamaecrista strictifolia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chamaecrista tephrosiifolia,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chamaecrista trachycarpa,sima-SP_oficial-cncflora_web-UICN_API,NA,LC,EX,EX,NA,LC,LC,NA,NA
Chamaecrista ulmea,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chamaecrista viscosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chamissoa acuminata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Chamissoa acuminata var. maximilianii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chamissoa altissima,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Chaptalia chapadensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chaptalia cordifolia,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chaptalia hermogenis,sima-cncflora_web-Portaria 443/2014,CR,NA,NA,NA,NA,CR,NA,NA,CR
Chascolytrum brasiliense,sima-mpoSP-Portaria 443/2014,EN,NA,CR,NA,NA,NA,NA,CR,EN
Chascolytrum bulbosum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chascolytrum itatiaiae,sima-Portaria 443/2014,EN,NA,CR,NA,NA,NA,NA,NA,EN
Chascolytrum juergensii,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Chascolytrum parodianum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chascolytrum scabrum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chascolytum brasiliense,SP_oficial,NA,NA,NA,CR,NA,NA,NA,NA,NA
Chascolytum itatiaiae,SP_oficial,NA,NA,NA,CR,NA,NA,NA,NA,NA
Cheilanthes goyazensis,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Cheilanthes incisa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cheilanthes juergensii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cheilanthes regnelliana,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Cheiloclinium cognatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chiococca alba,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chionanthus filiformis,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/nt,NA,NA
Chionanthus fluminensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chionanthus subsessilis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chionanthus tenuis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chionolaena lychnophorioides,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chiropetalum anisotrichum,sima,VU,NA,EX,NA,NA,NA,NA,NA,NA
Chiropetalum foliosum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chiropetalum gymnadenium,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,NA,EX,NA,VU,NA,NA,VU
Chloraea membranacea,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chloroleucon extortum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chloroleucon tenuiflorum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chloroleucon tortum,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,CR,NA,NA
Chomelia brasiliana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chomelia modesta,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,EX,EX,NA,CR,NA,NA,CR
Chomelia paniculata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chomelia parvifolia,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Chomelia pedunculosa,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Chomelia pohliana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chomelia randioides,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,EN,EN,NA,NA
Chondrodendron platiphyllum,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Chresta souzae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chresta sphaerocephala,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Christensonella ferdinandiana,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christensonella pumila,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Christiana macrodon,cncflora_ckan,NA,NA,NA,NA,NA,EN,NA,NA,NA
Chromolaena angusticeps,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chromolaena arrayana,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,VU,VU,NA,EN,NA,NA,EN
Chromolaena barbacensis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Chromolaena costatipes,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chromolaena elliptica,sima-SP_oficial-cncflora_web,NA,LC,EX,EX,NA,LC,NA,NA,NA
Chromolaena latisquamulosa,sima-SP_oficial-cncflora_web,NA,DD,VU,VU,NA,DD,NA,NA,NA
Chromolaena rhinanthacea,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EX,EX,NA,EN,NA,NA,EN
Chromolucuma apiculata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chronopappus bifrons,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chrysobalanus icaco,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chrysoblastella chilensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Chrysolaena dusenii,sima-cncflora_web,EN,NA,NA,NA,NA,EN,NA,NA,NA
Chrysolaena nicolackii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chrysophyllum acreanum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chrysophyllum bombycinum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chrysophyllum durifructum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chrysophyllum flexuosum,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/cd,NA,NA
Chrysophyllum gonocarpum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chrysophyllum imperiale,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,EN,EN,NA,EN
Chrysophyllum inornatum,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/cd,NA,NA
Chrysophyllum januariense,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Chrysophyllum marginatum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chrysophyllum ovale,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chrysophyllum paranaense,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chrysophyllum subspinosum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chrysophyllum superbum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chrysophyllum viride,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,LR/nt,NA,NA
Chusquea acuminata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Chusquea anelythra,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Chusquea attenuata,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Chusquea baculifera,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Chusquea bambusoides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Chusquea erecta,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Chusquea heterophylla,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,CR,CR,NA,EN,NA,NA,EN
Chusquea pinifolia,sima-SP_oficial-cncflora_web,NA,LC,CR,CR,NA,LC,NA,NA,NA
Chusquea pulchella,sima-SP_oficial-cncflora_web-Portaria 443/2014,EN,NA,EN,EN,NA,EN,NA,NA,EN
Chusquea tenuiglumis,sima-SP_oficial-cncflora_web-Portaria 443/2014,CR,NA,CR,CR,NA,CR,NA,NA,CR
Chytroglossa paulensis,sima-SP_oficial-cncflora_web,NA,DD,EX,EX,NA,DD,NA,NA,NA
Cienfuegosia drummondii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Cienfuegosia sulfurea,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Cinnamodendron dinisii,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Cinnamodendron occhionianum,cncflora_ckan,NA,NA,NA,NA,NA,CR,NA,NA,NA
Cinnamomum erythropus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cinnamomum glaziovii,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Cinnamomum hatschbachii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cinnamomum quadrangulum,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cinnamomum stenophyllum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Cinnamomum taubertianum,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Cinnamomum triplinerve,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Cipocereus bradei,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cipocereus crassisepalus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cipocereus laniflorus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Cipocereus minensis,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Cipocereus pusilliflorus,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Cirrhaea dependens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
